Date,Category,Sales,Price,Store
1/2/2023,Seasonal,86,97.92,Store_C
1/2/2023,Formal,28,124.94,Store_D
1/2/2023,Seasonal,58,148.17,Store_C
1/2/2023,Casual,53,175.87,Store_C
1/2/2023,Athletic,70,102.39,Store_A
1/2/2023,Formal,51,80.42,Store_B
1/2/2023,Formal,13,162.39,Store_B
1/2/2023,Casual,33,186.3,Store_D
1/2/2023,Formal,40,92.16,Store_B
1/2/2023,Athletic,86,34.9,Store_A
1/2/2023,Casual,69,132.27,Store_D
1/2/2023,Casual,6,115.84,Store_B
1/2/2023,Formal,40,165.55,Store_B
1/2/2023,Athletic,55,95.54,Store_D
1/2/2023,Formal,86,75.19,Store_B
1/2/2023,Formal,3,194.43,Store_D
1/2/2023,Formal,90,41,Store_D
1/2/2023,Athletic,3,74.94,Store_B
1/2/2023,Seasonal,57,169.11,Store_B
1/2/2023,Formal,76,42.85,Store_B
1/2/2023,Formal,95,177.6,Store_C
1/2/2023,Formal,38,39.21,Store_D
1/2/2023,Athletic,25,137.42,Store_A
1/2/2023,Formal,8,190.79,Store_B
1/2/2023,Casual,59,193.9,Store_B
1/3/2023,Athletic,10,24.48,Store_A
1/3/2023,Formal,15,170.33,Store_C
1/3/2023,Seasonal,81,172.81,Store_A
1/3/2023,Seasonal,9,187.92,Store_D
1/3/2023,Casual,91,169.64,Store_B
1/3/2023,Formal,44,121.68,Store_D
1/3/2023,Casual,49,106.35,Store_B
1/3/2023,Casual,37,108.29,Store_D
1/3/2023,Formal,74,77.93,Store_A
1/3/2023,Formal,38,189.42,Store_A
1/3/2023,Seasonal,70,135.69,Store_B
1/3/2023,Casual,8,134.7,Store_D
1/3/2023,Casual,31,173.79,Store_C
1/3/2023,Casual,60,69.07,Store_D
1/3/2023,Casual,77,187.03,Store_A
1/3/2023,Formal,61,57.56,Store_D
1/3/2023,Casual,34,117.15,Store_B
1/3/2023,Casual,21,63.14,Store_B
1/3/2023,Seasonal,14,62.79,Store_C
1/3/2023,Casual,21,175.81,Store_D
1/3/2023,Formal,94,176.11,Store_A
1/3/2023,Athletic,51,130.3,Store_B
1/3/2023,Seasonal,56,111.94,Store_B
1/3/2023,Athletic,41,165.56,Store_B
1/3/2023,Seasonal,40,100.3,Store_A
1/3/2023,Athletic,7,127.56,Store_C
1/3/2023,Formal,81,39.75,Store_D
1/3/2023,Athletic,92,163.48,Store_B
1/3/2023,Athletic,24,117.51,Store_B
1/3/2023,Casual,94,137.68,Store_C
1/3/2023,Casual,82,72.36,Store_D
1/3/2023,Formal,96,141.84,Store_A
1/3/2023,Seasonal,76,119.62,Store_D
1/3/2023,Seasonal,6,175.2,Store_D
1/3/2023,Casual,29,160.54,Store_C
1/3/2023,Casual,28,150.54,Store_B
1/3/2023,Casual,85,57.43,Store_D
1/3/2023,Seasonal,54,180.15,Store_D
1/3/2023,Casual,8,116.06,Store_C
1/3/2023,Athletic,1,158.02,Store_A
1/3/2023,Seasonal,96,65.05,Store_D
1/3/2023,Casual,44,168.29,Store_A
1/3/2023,Formal,40,174.26,Store_C
1/3/2023,Athletic,66,141.49,Store_B
1/3/2023,Formal,52,162.66,Store_D
1/3/2023,Athletic,53,33.11,Store_C
1/3/2023,Athletic,41,83.81,Store_C
1/3/2023,Formal,69,177.68,Store_D
1/3/2023,Athletic,30,129.2,Store_B
1/3/2023,Formal,18,69.46,Store_A
1/3/2023,Casual,40,159.19,Store_D
1/3/2023,Athletic,98,95.77,Store_B
1/3/2023,Athletic,59,75.79,Store_B
1/3/2023,Seasonal,23,133.04,Store_D
1/3/2023,Formal,92,71.97,Store_B
1/3/2023,Formal,27,21.83,Store_A
1/3/2023,Formal,65,22.02,Store_B
1/3/2023,Seasonal,45,46.02,Store_C
1/3/2023,Athletic,56,94.27,Store_C
1/3/2023,Casual,74,73.89,Store_B
1/3/2023,Formal,60,151.83,Store_B
1/3/2023,Casual,62,110.11,Store_A
1/3/2023,Casual,68,135.27,Store_D
1/3/2023,Casual,46,66.24,Store_A
1/3/2023,Seasonal,32,39.13,Store_A
1/3/2023,Casual,73,38.39,Store_D
1/3/2023,Formal,5,108.47,Store_D
1/3/2023,Seasonal,21,130.19,Store_B
1/3/2023,Formal,34,41.34,Store_C
1/3/2023,Seasonal,90,185.53,Store_C
1/3/2023,Athletic,16,199,Store_C
1/3/2023,Casual,54,160.54,Store_A
1/3/2023,Formal,70,149.39,Store_D
1/4/2023,Seasonal,7,144.43,Store_A
1/4/2023,Athletic,41,46.61,Store_A
1/4/2023,Athletic,85,106.14,Store_D
1/4/2023,Formal,52,105.66,Store_C
1/4/2023,Athletic,40,182.35,Store_B
1/4/2023,Seasonal,6,154.25,Store_D
1/4/2023,Athletic,88,49.37,Store_A
1/4/2023,Casual,37,72.09,Store_C
1/4/2023,Casual,2,106.52,Store_C
1/4/2023,Seasonal,84,41.13,Store_A
1/4/2023,Athletic,61,85.91,Store_B
1/4/2023,Seasonal,65,133.98,Store_D
1/4/2023,Athletic,83,109.72,Store_C
1/4/2023,Formal,66,122.66,Store_B
1/4/2023,Formal,19,58.75,Store_B
1/4/2023,Seasonal,93,147.91,Store_C
1/4/2023,Seasonal,24,164.68,Store_D
1/4/2023,Casual,2,95.04,Store_A
1/4/2023,Athletic,7,189.72,Store_D
1/4/2023,Athletic,70,71.47,Store_B
1/4/2023,Casual,20,58.26,Store_C
1/4/2023,Seasonal,62,55.5,Store_C
1/4/2023,Seasonal,82,196.32,Store_D
1/4/2023,Casual,98,196.4,Store_B
1/4/2023,Formal,16,176,Store_B
1/4/2023,Athletic,67,134.42,Store_C
1/4/2023,Athletic,60,46.68,Store_C
1/4/2023,Seasonal,44,57.2,Store_D
1/4/2023,Athletic,59,83.15,Store_A
1/4/2023,Formal,41,61.33,Store_D
1/4/2023,Casual,74,123.74,Store_C
1/4/2023,Formal,77,83.91,Store_C
1/4/2023,Formal,60,189.79,Store_C
1/4/2023,Casual,7,84.38,Store_A
1/4/2023,Athletic,28,76.43,Store_D
1/4/2023,Seasonal,28,52.9,Store_A
1/4/2023,Athletic,35,162.48,Store_B
1/4/2023,Formal,13,169.21,Store_B
1/4/2023,Casual,87,111.03,Store_C
1/4/2023,Seasonal,88,187.93,Store_B
1/4/2023,Seasonal,31,57.14,Store_D
1/4/2023,Seasonal,26,187.43,Store_C
1/4/2023,Athletic,91,185.3,Store_C
1/4/2023,Formal,35,118.56,Store_D
1/4/2023,Athletic,42,47.72,Store_D
1/4/2023,Casual,77,141.91,Store_D
1/4/2023,Formal,8,166.01,Store_C
1/4/2023,Casual,76,188.7,Store_B
1/4/2023,Casual,20,190.84,Store_A
1/4/2023,Casual,57,37.26,Store_B
1/4/2023,Athletic,64,83.58,Store_C
1/4/2023,Athletic,78,119.14,Store_A
1/4/2023,Formal,5,136.98,Store_A
1/4/2023,Athletic,36,46.41,Store_A
1/4/2023,Casual,2,193.27,Store_C
1/4/2023,Seasonal,71,89.83,Store_A
1/4/2023,Casual,71,184.37,Store_D
1/4/2023,Formal,79,135.93,Store_A
1/4/2023,Casual,83,122.6,Store_A
1/4/2023,Casual,28,110.42,Store_B
1/4/2023,Casual,54,82.13,Store_B
1/4/2023,Casual,5,135.98,Store_C
1/4/2023,Athletic,92,60.22,Store_C
1/4/2023,Seasonal,18,111.8,Store_A
1/4/2023,Seasonal,92,160.98,Store_C
1/4/2023,Seasonal,58,133.95,Store_A
1/4/2023,Casual,1,177.77,Store_B
1/4/2023,Athletic,17,73.01,Store_C
1/4/2023,Formal,90,60.42,Store_D
1/4/2023,Seasonal,41,151.21,Store_A
1/4/2023,Athletic,18,51.65,Store_A
1/4/2023,Seasonal,80,144.01,Store_A
1/4/2023,Seasonal,94,199.26,Store_D
1/4/2023,Seasonal,7,63.13,Store_B
1/4/2023,Athletic,44,90.28,Store_B
1/4/2023,Casual,65,92.01,Store_D
1/4/2023,Athletic,70,77.17,Store_A
1/4/2023,Formal,46,99.29,Store_A
1/4/2023,Casual,64,109.1,Store_A
1/4/2023,Casual,23,70.23,Store_D
1/4/2023,Formal,52,33.41,Store_D
1/4/2023,Casual,99,41.64,Store_C
1/5/2023,Seasonal,86,153.89,Store_A
1/5/2023,Athletic,63,81.05,Store_C
1/5/2023,Athletic,60,108.45,Store_A
1/5/2023,Seasonal,32,76.79,Store_C
1/5/2023,Seasonal,29,35.47,Store_C
1/5/2023,Formal,69,20.5,Store_C
1/5/2023,Casual,8,167.38,Store_D
1/5/2023,Athletic,82,68.89,Store_A
1/5/2023,Casual,57,80.69,Store_B
1/5/2023,Athletic,6,179.21,Store_B
1/5/2023,Athletic,86,115.25,Store_A
1/5/2023,Formal,85,129.03,Store_B
1/5/2023,Casual,16,187.15,Store_C
1/5/2023,Athletic,54,168.93,Store_C
1/5/2023,Seasonal,60,27.39,Store_A
1/5/2023,Athletic,93,106.61,Store_B
1/5/2023,Athletic,62,79.16,Store_C
1/5/2023,Casual,28,96.05,Store_D
1/5/2023,Athletic,5,98.38,Store_D
1/5/2023,Athletic,29,88.28,Store_B
1/5/2023,Athletic,98,141.77,Store_C
1/5/2023,Casual,58,97.04,Store_A
1/5/2023,Seasonal,55,182.18,Store_C
1/5/2023,Seasonal,58,122.21,Store_B
1/5/2023,Athletic,91,152.6,Store_B
1/5/2023,Formal,64,114.88,Store_A
1/5/2023,Athletic,41,143.45,Store_C
1/5/2023,Athletic,63,29.65,Store_D
1/5/2023,Athletic,79,44.66,Store_C
1/5/2023,Seasonal,33,50.6,Store_B
1/5/2023,Seasonal,53,55.07,Store_A
1/5/2023,Seasonal,25,66.22,Store_D
1/5/2023,Athletic,46,140.29,Store_D
1/5/2023,Seasonal,19,38.01,Store_A
1/5/2023,Formal,52,46.22,Store_D
1/5/2023,Casual,54,172.28,Store_C
1/5/2023,Seasonal,69,90.57,Store_C
1/5/2023,Seasonal,91,73.42,Store_C
1/5/2023,Casual,64,106.05,Store_B
1/5/2023,Casual,87,111.99,Store_D
1/5/2023,Casual,72,43.44,Store_B
1/5/2023,Casual,80,76.05,Store_C
1/5/2023,Casual,65,78.58,Store_A
1/5/2023,Seasonal,37,128.04,Store_C
1/5/2023,Formal,91,108.35,Store_C
1/5/2023,Casual,67,59.27,Store_D
1/5/2023,Formal,82,26.41,Store_B
1/5/2023,Casual,29,48.68,Store_D
1/5/2023,Formal,7,157.23,Store_A
1/5/2023,Athletic,96,136.19,Store_D
1/5/2023,Casual,58,165.96,Store_B
1/5/2023,Formal,2,180.02,Store_D
1/5/2023,Seasonal,90,24.89,Store_B
1/5/2023,Athletic,7,110.59,Store_A
1/5/2023,Athletic,84,197.51,Store_C
1/5/2023,Formal,47,165.33,Store_A
1/5/2023,Athletic,28,119.53,Store_C
1/5/2023,Athletic,40,139.04,Store_B
1/5/2023,Seasonal,63,102.57,Store_C
1/5/2023,Formal,61,86.77,Store_B
1/5/2023,Formal,28,56.36,Store_A
1/5/2023,Casual,24,27.89,Store_B
1/5/2023,Formal,80,120.94,Store_B
1/5/2023,Athletic,14,169.03,Store_A
1/5/2023,Casual,59,49.78,Store_A
1/5/2023,Formal,48,26.04,Store_D
1/5/2023,Athletic,13,190.15,Store_B
1/6/2023,Casual,51,48.83,Store_B
1/6/2023,Casual,81,51.34,Store_B
1/6/2023,Seasonal,54,98.9,Store_A
1/6/2023,Seasonal,57,67.63,Store_A
1/6/2023,Casual,79,173.41,Store_D
1/6/2023,Casual,72,194.2,Store_B
1/6/2023,Athletic,88,115.24,Store_C
1/6/2023,Formal,38,133.86,Store_D
1/6/2023,Seasonal,63,189.93,Store_C
1/6/2023,Athletic,9,131.06,Store_A
1/6/2023,Seasonal,62,61.85,Store_D
1/6/2023,Athletic,95,189.64,Store_D
1/6/2023,Formal,61,109.89,Store_C
1/6/2023,Formal,53,97.15,Store_A
1/6/2023,Athletic,13,66.17,Store_B
1/6/2023,Casual,99,43.98,Store_B
1/6/2023,Casual,43,25.39,Store_A
1/6/2023,Athletic,28,143.14,Store_D
1/6/2023,Seasonal,78,109.98,Store_A
1/6/2023,Formal,76,40.79,Store_D
1/6/2023,Casual,1,169.08,Store_C
1/6/2023,Seasonal,33,150.2,Store_A
1/6/2023,Athletic,58,171.14,Store_D
1/6/2023,Athletic,53,45.96,Store_C
1/6/2023,Casual,75,22.9,Store_B
1/6/2023,Athletic,58,41.48,Store_B
1/6/2023,Casual,8,125.85,Store_A
1/6/2023,Casual,91,27.03,Store_B
1/6/2023,Casual,2,138.94,Store_A
1/6/2023,Athletic,8,66.22,Store_B
1/6/2023,Formal,81,192.81,Store_D
1/6/2023,Athletic,54,108.95,Store_B
1/6/2023,Formal,52,148.74,Store_D
1/6/2023,Formal,49,172.69,Store_A
1/6/2023,Formal,8,82.62,Store_B
1/6/2023,Formal,46,107.16,Store_C
1/6/2023,Athletic,75,68.45,Store_C
1/6/2023,Seasonal,8,198.13,Store_D
1/6/2023,Formal,75,63.78,Store_C
1/6/2023,Athletic,58,99.75,Store_D
1/6/2023,Casual,6,41.35,Store_C
1/6/2023,Seasonal,14,113.79,Store_D
1/6/2023,Formal,41,99.57,Store_A
1/6/2023,Athletic,89,60.9,Store_D
1/6/2023,Athletic,93,88.72,Store_B
1/6/2023,Formal,27,135.94,Store_D
1/6/2023,Seasonal,67,136.57,Store_B
1/6/2023,Seasonal,99,104.32,Store_A
1/6/2023,Athletic,72,170.12,Store_B
1/6/2023,Seasonal,21,35.21,Store_A
1/6/2023,Casual,30,111.15,Store_C
1/6/2023,Seasonal,99,175.11,Store_A
1/6/2023,Athletic,59,148.17,Store_A
1/6/2023,Formal,4,137.59,Store_D
1/6/2023,Formal,10,184.22,Store_D
1/6/2023,Athletic,1,28.75,Store_D
1/6/2023,Formal,82,28.58,Store_C
1/6/2023,Athletic,21,140.84,Store_C
1/6/2023,Casual,46,90.15,Store_A
1/6/2023,Formal,67,50.7,Store_B
1/6/2023,Formal,1,37.04,Store_A
1/6/2023,Athletic,70,173.25,Store_D
1/6/2023,Casual,5,75.49,Store_A
1/6/2023,Casual,67,20.92,Store_C
1/6/2023,Seasonal,13,198.18,Store_B
1/6/2023,Seasonal,74,58.43,Store_D
1/6/2023,Formal,4,56.09,Store_D
1/6/2023,Casual,55,122.71,Store_C
1/6/2023,Seasonal,61,97.75,Store_D
1/6/2023,Casual,59,99.51,Store_D
1/6/2023,Athletic,60,37.3,Store_D
1/6/2023,Seasonal,30,94.02,Store_C
1/7/2023,Seasonal,78,70.18,Store_A
1/7/2023,Seasonal,96,46.76,Store_C
1/7/2023,Athletic,71,182.33,Store_A
1/7/2023,Seasonal,1,172.95,Store_D
1/7/2023,Seasonal,66,71.17,Store_C
1/7/2023,Seasonal,80,170.38,Store_D
1/7/2023,Casual,22,62.28,Store_A
1/7/2023,Athletic,32,171.13,Store_A
1/7/2023,Seasonal,68,194.95,Store_C
1/7/2023,Formal,21,38.75,Store_D
1/7/2023,Casual,69,38.78,Store_A
1/7/2023,Formal,95,112.16,Store_D
1/7/2023,Seasonal,83,47.26,Store_D
1/7/2023,Formal,13,52.2,Store_A
1/7/2023,Formal,89,119.71,Store_B
1/7/2023,Seasonal,79,62.12,Store_B
1/7/2023,Seasonal,68,52.83,Store_B
1/7/2023,Athletic,88,37.53,Store_C
1/7/2023,Casual,95,64.19,Store_A
1/7/2023,Formal,55,59.09,Store_D
1/7/2023,Casual,92,191.46,Store_C
1/7/2023,Formal,41,134.81,Store_C
1/7/2023,Athletic,19,62.67,Store_B
1/7/2023,Seasonal,80,149.67,Store_B
1/7/2023,Athletic,32,198.9,Store_D
1/7/2023,Seasonal,54,174.9,Store_D
1/7/2023,Athletic,96,83.65,Store_B
1/7/2023,Casual,91,23.63,Store_A
1/7/2023,Seasonal,95,185.9,Store_D
1/7/2023,Formal,92,44.94,Store_C
1/7/2023,Casual,39,50.24,Store_A
1/7/2023,Casual,41,51.88,Store_D
1/7/2023,Athletic,23,82.95,Store_C
1/7/2023,Seasonal,79,138.53,Store_A
1/7/2023,Formal,90,90.39,Store_B
1/7/2023,Formal,66,78.15,Store_B
1/7/2023,Seasonal,91,120.42,Store_A
1/7/2023,Athletic,76,92.52,Store_C
1/7/2023,Seasonal,85,23.66,Store_C
1/7/2023,Formal,63,144.69,Store_D
1/7/2023,Athletic,5,39.64,Store_B
1/7/2023,Seasonal,62,163.49,Store_B
1/7/2023,Formal,30,170.68,Store_C
1/7/2023,Athletic,92,105.55,Store_D
1/7/2023,Athletic,63,37.36,Store_A
1/7/2023,Athletic,26,45.5,Store_C
1/7/2023,Casual,36,156.5,Store_C
1/7/2023,Seasonal,23,184.04,Store_D
1/7/2023,Formal,73,62.65,Store_A
1/7/2023,Athletic,85,172.66,Store_D
1/7/2023,Athletic,24,55.31,Store_C
1/7/2023,Athletic,25,83.49,Store_A
1/7/2023,Casual,5,158.93,Store_D
1/7/2023,Formal,9,166.93,Store_B
1/7/2023,Casual,80,119.12,Store_D
1/7/2023,Casual,1,75.19,Store_A
1/7/2023,Athletic,33,148.67,Store_D
1/7/2023,Seasonal,98,43.26,Store_C
1/7/2023,Athletic,99,144.94,Store_B
1/7/2023,Casual,90,171.16,Store_B
1/7/2023,Formal,86,152.11,Store_A
1/7/2023,Athletic,24,75.46,Store_B
1/7/2023,Casual,50,83.97,Store_D
1/7/2023,Formal,38,57.26,Store_A
1/7/2023,Casual,48,126.94,Store_D
1/7/2023,Casual,78,49.68,Store_C
1/7/2023,Athletic,94,34.19,Store_C
1/7/2023,Casual,80,120.65,Store_A
1/7/2023,Athletic,6,142.27,Store_B
1/7/2023,Athletic,73,81.32,Store_C
1/7/2023,Athletic,31,198.8,Store_B
1/7/2023,Formal,66,66.19,Store_D
1/7/2023,Seasonal,71,54.75,Store_B
1/7/2023,Seasonal,24,125.97,Store_C
1/7/2023,Seasonal,59,143.79,Store_A
1/7/2023,Casual,62,184.14,Store_A
1/7/2023,Formal,54,93.16,Store_D
1/7/2023,Athletic,11,91.07,Store_B
1/7/2023,Formal,82,104.37,Store_A
1/8/2023,Casual,89,89.51,Store_A
1/8/2023,Seasonal,17,195.05,Store_D
1/8/2023,Casual,42,51.68,Store_A
1/8/2023,Seasonal,4,190.28,Store_A
1/8/2023,Casual,38,73.97,Store_D
1/8/2023,Athletic,25,116.9,Store_D
1/8/2023,Seasonal,3,159.32,Store_B
1/8/2023,Formal,66,157.87,Store_C
1/8/2023,Seasonal,32,44.26,Store_C
1/8/2023,Formal,69,22.18,Store_C
1/8/2023,Athletic,74,163.38,Store_B
1/8/2023,Seasonal,35,137.83,Store_A
1/8/2023,Formal,30,146.97,Store_A
1/8/2023,Casual,45,133.44,Store_A
1/8/2023,Seasonal,10,161.73,Store_A
1/8/2023,Formal,22,173.06,Store_C
1/8/2023,Formal,85,25.44,Store_D
1/8/2023,Athletic,6,111.55,Store_D
1/8/2023,Casual,49,81.73,Store_C
1/8/2023,Casual,52,96.28,Store_B
1/8/2023,Casual,77,59.88,Store_B
1/8/2023,Formal,71,138.24,Store_B
1/8/2023,Athletic,40,166.92,Store_D
1/8/2023,Seasonal,31,86.94,Store_B
1/8/2023,Seasonal,20,191.8,Store_B
1/8/2023,Seasonal,2,118.81,Store_C
1/8/2023,Athletic,80,82.98,Store_B
1/8/2023,Seasonal,66,102.99,Store_D
1/8/2023,Athletic,32,159.37,Store_B
1/8/2023,Athletic,90,187.68,Store_B
1/8/2023,Casual,41,71.13,Store_C
1/8/2023,Formal,23,36.55,Store_B
1/8/2023,Formal,74,195.69,Store_A
1/8/2023,Formal,25,115.88,Store_C
1/8/2023,Seasonal,46,141.98,Store_B
1/8/2023,Seasonal,18,59.61,Store_A
1/8/2023,Seasonal,82,164.53,Store_C
1/8/2023,Casual,4,78.04,Store_C
1/8/2023,Seasonal,71,53.02,Store_B
1/8/2023,Formal,10,139.61,Store_B
1/8/2023,Casual,87,72.07,Store_B
1/8/2023,Formal,43,119.31,Store_A
1/8/2023,Athletic,28,127.74,Store_C
1/8/2023,Seasonal,77,98.53,Store_D
1/8/2023,Seasonal,64,109.88,Store_B
1/8/2023,Seasonal,61,143.63,Store_C
1/8/2023,Formal,56,147.25,Store_D
1/8/2023,Casual,41,101.98,Store_D
1/8/2023,Casual,37,142.01,Store_C
1/8/2023,Formal,22,138,Store_D
1/8/2023,Athletic,77,165.77,Store_D
1/8/2023,Casual,47,57.91,Store_C
1/8/2023,Athletic,74,149.45,Store_B
1/8/2023,Athletic,30,82.34,Store_B
1/8/2023,Athletic,36,94.2,Store_D
1/8/2023,Seasonal,93,45.23,Store_D
1/8/2023,Athletic,3,27.35,Store_B
1/8/2023,Casual,6,37.32,Store_C
1/8/2023,Seasonal,96,133.1,Store_B
1/8/2023,Formal,94,151.2,Store_B
1/8/2023,Athletic,97,45.04,Store_B
1/8/2023,Seasonal,96,163.17,Store_C
1/8/2023,Athletic,5,127.23,Store_D
1/8/2023,Casual,82,101.83,Store_B
1/8/2023,Formal,11,117.54,Store_B
1/8/2023,Formal,18,139.52,Store_C
1/8/2023,Athletic,78,44.57,Store_C
1/8/2023,Formal,34,43.45,Store_B
1/8/2023,Seasonal,21,79.52,Store_B
1/8/2023,Seasonal,25,177.27,Store_A
1/8/2023,Seasonal,28,68.4,Store_D
1/8/2023,Formal,20,167.4,Store_A
1/8/2023,Casual,97,193.95,Store_A
1/8/2023,Formal,92,93.03,Store_B
1/8/2023,Formal,51,114.76,Store_C
1/8/2023,Formal,57,124.34,Store_B
1/8/2023,Athletic,30,67.83,Store_C
1/8/2023,Formal,47,159.84,Store_D
1/8/2023,Casual,43,21.03,Store_D
1/8/2023,Casual,12,28.26,Store_B
1/8/2023,Seasonal,21,57.68,Store_D
1/8/2023,Formal,58,84.65,Store_B
1/8/2023,Casual,81,165.81,Store_A
1/8/2023,Seasonal,62,145.92,Store_A
1/8/2023,Athletic,41,168.67,Store_A
1/8/2023,Athletic,46,160.25,Store_D
